"사용","카테고리","난이도","발표 주제","슬라이드1 제목","슬라이드1 내용","슬라이드2 제목","슬라이드2 내용","슬라이드3 제목","슬라이드3 내용","참고자료"
"TRUE","로봇공학","중급","협동 로봇(Cobot)","사람 옆에서 일하는 로봇","협동 로봇은 사람과 작업 공간을 공유하도록 설계된 산업용 로봇 시스템이다. 힘·토크 감지와 속도 제한을 이용해 충돌 위험을 낮춘다.","안전은 센서 하나로 끝나지 않는다","ISO/TS 15066은 안전 정격 감시 정지, 핸드 가이딩, 속도·거리 모니터링, 힘·동력 제한을 제시한다. 핵심 흐름은 감지 → 위험 판단 → 정지 또는 감속이다.","느려도 더 유연할 수 있다","속도와 힘이 제한될 수 있지만 작업 변경이 잦은 다품종 소량 생산과 반복 조립에 강하다. 질문: 생산성과 안전성 중 무엇을 먼저 최적화해야 할까?","https://www.iso.org/news/2016/03/Ref2057.html"
"TRUE","로봇공학","중급","휴머노이드 로봇","왜 굳이 사람을 닮았을까?","휴머노이드 로봇은 머리·몸통·팔·다리처럼 사람과 비슷한 구조를 가진다. 사람용 계단, 문, 공구를 환경 개조 없이 쓰려는 것이 큰 이유다.","두 발로 서는 것은 계산 문제다","IMU, 관절 엔코더, 발바닥 힘 센서로 자세를 추정하고 무게중심과 지지 영역을 계산한다. 액추에이터는 넘어지기 전에 관절 토크를 계속 보정한다.","사람형이 항상 정답은 아니다","사람 공간에는 잘 적응하지만 바퀴형보다 에너지 효율과 안정성이 낮을 수 있다. 질문: 재난 현장이라면 휴머노이드와 바퀴형 로봇 중 무엇을 선택할까?","https://spj.science.org/doi/10.34133/2021/9817487"
"TRUE","로봇공학","고급","역기구학","손끝 위치에서 관절 각도로","역기구학은 로봇 손끝의 원하는 위치와 방향을 입력하면 어깨·팔꿈치 같은 각 관절의 각도를 찾는 계산이다. 손끝을 정하고 팔 자세를 거꾸로 추리하는 셈이다.","답이 하나가 아닐 수도 있다","같은 손끝 위치에도 팔꿈치를 위나 아래로 둔 여러 해가 존재할 수 있고, 닿지 않는 곳에는 해가 없다. 특이점에서는 자코비안의 랭크가 낮아져 특정 방향의 움직임을 잃는다.","계산보다 중요한 좋은 자세","실제 로봇은 충돌, 관절 한계, 에너지, 조작성까지 고려해 해를 고른다. 질문: 여러 자세가 가능하다면 가장 짧은 경로와 가장 안전한 경로 중 무엇을 선택할까?","https://modernrobotics.northwestern.edu/chapters/chapter6/"
"TRUE","로봇공학","고급","SLAM","지도 없이 길을 찾는 방법","SLAM은 로봇이 자신의 위치를 추정하면서 동시에 주변 지도를 만드는 기술이다. 처음 가는 교실에서 눈으로 벽과 책상을 확인하며 내 위치를 짐작하는 것과 비슷하다.","오차가 쌓이면 지도가 휘어진다","LiDAR·카메라·IMU의 관측으로 이동량을 추정하지만 작은 오차가 누적된다. 예전에 본 장소를 다시 알아보는 루프 클로저와 포즈 그래프 최적화로 지도를 바로잡는다.","정확도·속도·센서 비용의 균형","카메라는 풍부한 정보를 주지만 조명에 민감하고, LiDAR는 거리 측정이 안정적이지만 비싸다. 질문: 어두운 공장과 밝은 교실에는 각각 어떤 센서 조합이 좋을까?","https://technav.ieee.org/topic/robot-localization/"
"TRUE","로봇공학","고급","소프트 로보틱스","부드러움이 기능이 되는 로봇","소프트 로보틱스는 실리콘·고무·섬유처럼 잘 휘는 재료로 로봇을 만든다. 물체 모양에 스스로 맞춰 변형되므로 깨지기 쉬운 대상과 사람을 안전하게 다루기 좋다.","공기와 구조가 인공 근육이 된다","공압식 액추에이터는 내부 통로에 공기를 넣어 팽창·굽힘·비틀림을 만든다. 순응성 덕분에 정밀 제어 부담은 줄지만 응답 속도, 힘, 내구성 확보가 어려울 수 있다.","단단한 로봇이 못 잡는 것","해파리, 과일, 의료 조직처럼 형태가 일정하지 않고 약한 대상을 잡는 데 유리하다. 질문: 부드러운 그리퍼를 만든다면 재료와 구동 방식을 어떻게 선택할까?","https://wyss.harvard.edu/news/a-rubber-computer-eliminates-the-last-hard-components-from-soft-robots/"
"TRUE","로봇공학","입문","로봇의 자유도","로봇은 몇 방향으로 움직일 수 있을까?","자유도는 로봇의 자세를 정하는 데 필요한 서로 독립적인 움직임의 수다. 평면에서 앞뒤·좌우로만 움직이는 물체는 2자유도, 위치 3축과 회전 3축을 모두 다루면 최대 6자유도로 설명할 수 있다.","관절 하나가 자유도 하나가 되는 이유","회전 관절은 각도 하나, 직선 관절은 이동 거리 하나로 상태를 나타낸다. 여러 관절의 값이 연결되면 로봇 끝단의 위치와 방향이 정해지지만, 관절 배치에 따라 같은 자유도라도 작업 가능 영역은 달라진다.","자유도가 많으면 무조건 좋을까?","자유도가 늘면 장애물을 피해 다양한 자세를 만들 수 있지만 모터·센서·계산량과 비용도 증가한다. 질문: 용접 로봇과 물건 운반 로봇에는 각각 몇 자유도가 적당할까?",""
"TRUE","로봇공학","중급","군집 로봇","작은 로봇들이 떼로 움직이는 기술","군집 로봇은 많은 단순한 로봇이 주변 로봇과 지역 정보만 이용해 전체 임무를 수행하는 방식이다. 개미가 지휘관 없이 먹이를 찾고 길을 만드는 모습이 대표적인 비유다.","중앙 명령 없이 질서가 생긴다","각 로봇은 충돌 회피, 이웃과 거리 유지, 목표 방향 정렬 같은 간단한 규칙을 반복한다. 이 지역 규칙이 합쳐지면 탐색·대형 형성·물체 운반 같은 집단 행동이 나타난다.","한 대가 고장 나도 계속 움직인다","일부가 고장 나도 전체가 임무를 이어갈 수 있지만 통신 지연과 예측하기 어려운 집단 행동이 문제다. 질문: 산불 수색에서 로봇 1대의 정확성과 100대의 넓은 탐색 중 무엇이 중요할까?",""
"TRUE","로봇공학","고급","햅틱 피드백","화면 너머의 촉감을 전달하다","햅틱 피드백은 진동·힘·압력으로 사용자에게 촉각 정보를 주는 기술이다. 스마트폰 진동부터 수술 로봇 조종 장치가 저항을 되돌려주는 힘 피드백까지 범위가 넓다.","센서의 값을 손이 느끼는 힘으로","힘 센서가 접촉 크기를 측정하면 제어기가 모터나 진동 액추에이터를 움직여 손에 반작용을 만든다. 지연이 크거나 힘이 과하면 실제와 다르게 느껴지거나 제어가 불안정해질 수 있다.","보이지 않는 정보를 만질 수 있다","원격 수술, 가상현실, 시각장애인 안내에 유용하지만 촉감을 완벽히 재현하기는 어렵다. 질문: 온라인 실습에서 무게·거칠기·온도 중 어떤 감각을 먼저 구현해야 할까?",""
"TRUE","로봇공학","입문","로봇 윤리","로봇의 행동에는 누가 책임질까?","로봇 윤리는 로봇의 설계와 사용이 사람의 안전·권리·공정성에 어떤 영향을 주는지 따지는 분야다. 로봇 자체보다 이를 만든 기업, 운영자, 사용자와 제도를 함께 살펴본다.","성능만으로는 좋은 로봇이 되지 않는다","서비스 로봇은 카메라로 개인정보를 모을 수 있고 AI 판단은 학습 데이터의 편향을 반영할 수 있다. 설계 단계부터 최소 정보 수집, 사람의 최종 통제, 사고 기록과 설명 가능성을 고려해야 한다.","편리함과 인간의 통제 사이","돌봄·채용·군사처럼 영향이 큰 영역에서는 효율보다 존엄성과 책임이 우선될 수 있다. 질문: 로봇이 내린 결정을 사람이 언제든 취소할 수 있어야 할까?",""
"TRUE","로봇공학","입문","언캐니 밸리","사람과 닮았는데 왜 오히려 무서울까?","언캐니 밸리는 로봇이나 캐릭터가 사람과 비슷해질수록 호감이 커지다가, 거의 닮았지만 미묘하게 어색한 구간에서 거부감이 급격히 커진다는 가설이다.","눈·표정·움직임의 작은 불일치","피부는 사실적인데 눈동자가 멈춰 있거나 입 모양과 목소리의 타이밍이 다르면 기대와 실제가 충돌한다. 외형뿐 아니라 움직임과 상황 맥락이 불쾌감에 영향을 준다.","더 닮게 할까, 아예 단순하게 할까?","안내 로봇은 친근한 만화형 얼굴을 선택하고 영화는 극사실 표현을 택하기도 한다. 질문: 병원 로봇은 사람처럼 보여야 할까, 기계임이 분명해야 할까?",""
